Celebrity Name,Costume Theme,Dress Type,Fabric,Color Palette,Style Elements,Accessories,Image Link
Deepika Padukone,Red Carpet,Lehenga,Silk,Pastel Pink,Embroidery,Statement Necklace,"https://assets.vogue.in/photos/5ec7ae5110fab20947da90e6/2:3/w_2240,c_limit/deepika%20at%20iifa%202016%20GettyImages-543094816.jpg"
Deepika Padukone,Traditional,Saree,Silk,"Neutrals, Pastels",Traditional Weaving,"Earrings, Bangles",https://royalanarkali.com/wp-content/uploads/2024/04/Deepika-Padukone-Golden-Color-Georgette-Embroidery-Saree-400x800.jpeg
Deepika Padukone,Formal,Gown,Satin,Jewel Tones,Sequins,Minimal Jewelry,https://www.gauriandnainika.com/cdn/shop/files/WoGxh0E8.jpg?v=1689855011&width=1080
Shah Rukh Khan,Red Carpet,Suit,Wool,Black and White,Classic Cut,"Watch, Cufflinks",https://akm-img-a-in.tosshub.com/indiatoday/images/photo_gallery/202408/whatsapp_image_2024-08-11_at_12.03.03_1.jpeg?VersionId=QOmxqBicc93kaLKbo.jRFQyUq8a_22Ls&size=686:*
Shah Rukh Khan,Traditional,Sherwani,Velvet,Black and Gold,Zari Work,"Brooch, Scarf",https://img.mensxp.com/media/content/2019/Jun/shah-rukh-khan1-1561472824.jpg?w=900&h=1845&cc=1
Priyanka Chopra,Red Carpet,Gown,Satin,Jewel Tones,Sequins,Statement Earrings,https://wp.missmalini.com/wp-content/uploads/2020/04/Priyanka-Chopra.jpg
Priyanka Chopra,Traditional,Saree,Silk,Jewel Tones,Embroidery,"Bangles, Necklace",https://cdn.shopify.com/s/files/1/0625/7550/9710/files/priyanka1_480x480.jpg?v=1724670251
Ranveer Singh,Casual,Kurta,Cotton,Bright Colors,Bold Patterns,"Scarf, Watch",https://images.moneycontrol.com/static-mcnews/2024/05/20240516123936_Picture103-1.png
Kareena Kapoor,Traditional,Anarkali,Chiffon,"Neutrals, Pink",Embroidery,"Earrings, Bangles",https://5.imimg.com/data5/ECOM/Default/2022/7/FA/HK/JM/144140021/directgharpe-wceadb331-2-500x500.jpg
Kareena Kapoor,Red Carpet,Gown,Satin,"Neutrals, Pink",Minimalist,"Necklace, Earrings",https://c.ndtvimg.com/gws/ms/kareena-kapoors-red-carpet-fashion/assets/2.png
Hrithik Roshan,Formal,Suit,Wool,"Blue, Earth Tones",Classic Cut,Pocket Square,https://www.bollywoodhungama.com/wp-content/uploads/2022/12/Hrithik-Roshan-on-Fighter-Its-the-most-humongous-thing-I-have-attempted.jpg
Hrithik Roshan,Traditional,Sherwani,Wool,"Blue, Neutrals",Minimalist,"Watch, Scarf",https://i.pinimg.com/736x/58/28/1d/58281dfc38589cbc76ec481b40c72232.jpg
Alia Bhatt,Casual,Kurti,Cotton,Pastels,Simple Patterns,"Bangles, Necklace",https://cdn.shopify.com/s/files/1/1384/4105/files/alia-bhatt-in-pink-suit-2_2048x2048.jpg?v=1525676986
Alia Bhatt,Red Carpet,Gown,Satin,Bright Colors,Ruffles,Earrings,https://images.indianexpress.com/2023/12/alia-bhatt-1600.jpg
Salman Khan,Red Carpet,Suit,Wool,Neutral Tones,Minimalist,Watch,https://th-i.thgim.com/public/incoming/xu0950/article68373994.ece/alternates/FREE_1200/2024-07-05T191038Z_1874043102_RC25P8ALAU8E_RTRMADP_3_INDIA-AMBANI-WEDDING.JPG
Aishwarya Rai,Red Carpet,Gown,Satin,"Gold, Red",Sequins,"Necklace, Earrings",https://assets.vogue.in/photos/5f3e3a2d18ed58cd147adc15/2:3/w_2560%2Cc_limit/aishwarya%2520rai%2520bachchan%25202016-Elie-Saab.jpg
Aishwarya Rai,Traditional,Saree,Silk,Jewel Tones,Embroidery,"Bangles, Necklace",https://c.ndtvimg.com/gws/975/assets/1.jpeg?1674652920
Akshay Kumar,Red Carpet,Suit,Wool,"Earth Tones, Blue",Classic Cut,Pocket Square,https://img.mensxp.com/media/content/2023/Jan/Inside-image-3-161_63ce3b5796044.jpeg?w=900&h=1350&cc=1
Akshay Kumar,Traditional,Sherwani,Wool,"Blue, Earth Tones",Minimalist,Watch,https://www.masala.com/cloud/2021/07/25/akexpsher1_full.jpg.jpg
Kriti Sanon,Red Carpet,Gown,Satin,"Neutrals, Bright",Sequins,Earrings,https://static.toiimg.com/photo/96917261/96917261.jpg
Kriti Sanon,Casual,Dress,Cotton,"Neutrals, Bright",Simple Patterns,Bangles,https://www.kollybollyethnics.com/image/catalog/data/07Jul2019/Bollywood-Kirti-Sanon-white-kurta-palazzo-set-5171.jpg
Varun Dhawan,Red Carpet,Suit,Wool,Bright Colors,Bold Patterns,Watch,https://i.pinimg.com/474x/2b/2a/05/2b2a05049003b5d989a8f7c647d4de06.jpg
Shraddha Kapoor,Red Carpet,Gown,Satin,"Pastels, Bright",Embroidery,"Earrings, Bangles",https://i.pinimg.com/originals/2e/d8/82/2ed8824089b9a5a09f18074fa16cd39a.jpg
Shraddha Kapoor,Traditional,Lehenga,Silk,Pastels,Traditional Weaving,"Necklace, Earrings",https://imgeng.jagran.com/webstories/104253/festive-saree-ideas-by-shraddha-kapoor-1724130548.jpeg
John Abraham,Formal,Suit,Wool,"Earth Tones, Blue",Classic Cut,"Watch, Pocket Square",https://image-timescontent.timesgroup.com/thumb/292405.webp
John Abraham,Casual,Casual Wear,Cotton,Earth Tones,Minimalist,Watch,https://i.pinimg.com/736x/18/b0/e2/18b0e2eda3fbd54c2d0259d83cdac1a1.jpg
Kangana Ranaut,Red Carpet,Lehenga,Silk,Bright Colors,Sequins,Statement Earrings,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSr5n-FVfmge-bxYwtFlqHwl_rT4pEFH2ISmk7VKSjlfQMUreXYUaTntBQEfnj8nzqOTMw&usqp=CAU
Kangana Ranaut,Traditional,Saree,Silk,Jewel Tones,Embroidery,Bangles,https://akm-img-a-in.tosshub.com/indiatoday/styles/medium_crop_simple/public/2023-10/kangana_ranaut_saree.jpg?VersionId=BwpBi.PUdIyOHSTQtRTpCnMnggxnS4BY&size=750:*
Siddharth Malhotra,Red Carpet,Suit,Wool,"Blue, Earth Tones",Classic Cut,"Watch, Pocket Square",https://img.indiaforums.com/media/640x0/55/4651-sidharth-malhotra-grace-the-red-carpet-at-the-india-most-stylish-awards-2022.jpg
Sonam Kapoor,Traditional,saree,Satin,"Jewel Tones, Neutrals",Embroidery,"Earrings, Necklace",https://assets.vogue.in/photos/65e53c6c36a428350fd469ec/3:4/w_2560%2Cc_limit/Snapinsta.app_417694962_18424867438009229_429935985490168976_n_1080.jpg
Amitabh Bachchan,Red Carpet,Suit,Wool,Earth Tones,Classic Cut,"Pocket Square, Watch",https://i.pinimg.com/736x/f2/b1/55/f2b155bd09083615c6d5d8948c2c2530.jpg
Taapsee Pannu,Red Carpet,Gown,Satin,"Bright Colors, Monochrome",Sequins,Earrings,https://images.news18.com/ibnlive/uploads/2018/11/Taapsee-Pannu-G2.jpg
Shahid Kapoor,Red Carpet,Suit,Wool,Neutral Tones,Minimalist,Watch,https://static.toiimg.com/photo/61627417.cms?imgsize=36638
Madhuri Dixit,Traditional,Saree,Silk,"Jewel Tones, Neutrals",Embroidery,"Earrings, Bangles",https://imgeng.jagran.com/webstories/100343/madhuri-saree-1721277088.jpeg
Rani Mukerji,Red Carpet,Saree,Silk,"Earth Tones, Pastels",Traditional Weaving,"Necklace, Bangles",https://static.india.com/wp-content/uploads/2024/03/Rani-Mukherjee1-1.jpg
Samantha,Red Carpet,Gown,Satin,"Bright Colors, Monochrome",Sequins,Earrings,https://i.pinimg.com/originals/a7/b2/71/a7b271d398d87ebaad66656de788bf93.jpg
Shilpa Shetty,Traditional,Saree,Satin,"Jewel Tones, Neutrals",Embroidery,Necklace,https://punitbalana.in/cdn/shop/files/28_500a74b4-aaf9-4158-a0cb-3e581618ecf2.jpg?v=1724151342&width=1445
Arjun Kapoor,Traditional,Sherwani,Velvet,Earth Tones,Zari Work,Brooch,https://images.ottplay.com/webstories/wp-content/uploads/2024/07/IMG_5988.jpg
Neha Dhupia,Traditional,lehenga,Satin,"Neutrals, Bright",Sequins,Earrings,https://www.southindiafashion.com/wp-content/uploads/2022/02/Neha-dhupia-in-faabiiana-black-saree-for-thusrday-promotions-2.jpg
Tiger Shroff,Traditional,Sherwani,Cotton,"Bright Colors, Earth Tones",Minimalist,Watch,https://www.kalkifashion.com/blogs/wp-content/uploads/2023/03/tiger-04.jpg
Genelia D'Souza,Red Carpet,Dress,Cotton,"Pastels, Bright",Simple Patterns,"Earrings, Necklace",https://images.herzindagi.info/webstories/3335/1664907389-web-story-jyoti--90-.jpg
Bhuvan Bam,Casual,Casual Wear,Cotton,Bright Colors,Bold Patterns,Watch,https://i.pinimg.com/564x/45/5a/ed/455aed4fd476a1bfbdec5655d6900d12.jpg
Pooja Hegde,Traditional,saree,cotton,"Jewel Tones, Pastels",Embroidery,Earrings,https://madhurya.com/cdn/shop/files/poojaH_800x.jpg?v=1711708805
Nushrat Bharucha,Red Carpet,Dress,Silk,Bright Colors,Simple Patterns,Necklace,https://c8.alamy.com/comp/R2DG8P/actress-nushrat-bharucha-seen-on-the-red-carpet-during-the-lux-golden-rose-awards-2018-at-the-ncsi-dome-worli-in-mumbai-R2DG8P.jpg
Vidya Balan,Red Carpet,Saree,Silk,"Earth Tones, Neutrals",Embroidery,"Bangles, Necklace",https://c8.alamy.com/comp/TXHB58/jury-member-vidya-balan-arrives-on-the-red-carpet-before-the-screening-of-the-film-inside-llewyn-davis-during-the-66th-annual-cannes-international-film-festival-in-cannes-france-on-may-19-2013-upidavid-silpa-TXHB58.jpg
Ritesh Deshmukh,Traditional,Sherwani,Cotton,Earth Tones,Classic Cut,"Watch, Pocket Square",https://images.news18.com/ibnlive/uploads/2023/06/untitled-project-4-14.jpg
Ranbir Kapoor	Red Carpet	Suit	Wool	Neutral Tones	Classic Cut	Watch, Pocket Square	https://i.pinimg.com/originals/8b/48/fb/8b48fb296dfd3434faf932b9484c8ada.jpg
Kajol	Traditional	Saree	Silk	Jewel Tones, Neutrals	Embroidery	Necklace, Earrings	https://st1.photogallery.ind.sh/wp-content/uploads/indiacom/kajol-oozes-oomph-in-traditional-attire-202212-1671885526.jpg?impolicy=Medium_Widthonly&w=700
Sara Ali Khan	Red Carpet	lehenga	Silk	Bright Colors, Monochrome	Ruffles	Earrings, Necklace	https://www.filmibeat.com/ph-big/2023/05/cannes-2023-sara-ali-khan-honored-her-desi-roots-in-a-pastel-lehenga-the-cannes-red-carpet_168430321140.jpeg
Vicky Kaushal	Traditional	Sherwani	Velvet	Earth Tones, Gold	Zari Work	Brooch, Scarf	https://media.gqindia.com/wp-content/uploads/2020/05/inside8-440x629.jpg
Anushka Sharma	Red Carpet	Gown	Satin	Neutrals, Bright Colors	Sequins	Statement Earrings	https://1.bp.blogspot.com/-4sXJCuRV_gU/XqoqofjFBjI/AAAAAAAAm-A/IxQ9eKW-cBQRvD4gKaprHcTS3zVNGBeKACLcBGAsYHQ/s1600/anushka_sharma_stills_2104200628_009.jpg
Sushmita Sen	Traditional	Lehenga	Silk	Jewel Tones, Neutrals	Traditional Weaving	Necklace, Bangles	https://i.pinimg.com/originals/5b/e9/75/5be975f92c58fcfe7d5ce44607832c0c.jpg
Ishaan Khatter	Red Carpet	Suit	Wool	Dark, Earth Tones	Classic Cut	Watch, Cufflinks	https://static-koimoi.akamaized.net/wp-content/new-galleries/2022/11/ishaan-khatter-looks-dripping-hot-in-velvet-pant-suit-sheer-scaly-shirt-is-enough-to-make-all-girls-go-weak-in-their-knees-001.jpg
Radhika Apte	Traditional	Saree	Silk	Neutrals, Pastels	Embroidery	Earrings, Bangles	https://i.pinimg.com/originals/e3/9d/0c/e39d0c9239a955908f19fca93e9ebf8d.jpg
Kartik Aaryan	Casual	Kurta	Cotton	Bright Colors, Patterns	Bold Patterns	Watch, Bracelet	https://th.bing.com/th/id/OIP.TBzAgdh4-KpUPzf0muCRfwHaLH?rs=1&pid=ImgDetMain
Janhvi Kapoor	Red Carpet	Gown	Silk	Bright Colors, Pastels	Sequins	Earrings	https://images.odishatv.in/uploadimage/library/16_9/16_9_1/recent_photo_1683623481.webp
Yami Gautam	Traditional	Saree	Silk	Jewel Tones	Traditional Weaving	Necklace, Earrings	https://i0.wp.com/sareeing.com/wp-content/uploads/2022/11/yami-gautam-red-saree-3-819x1024.webp?resize=819%2C1024&ssl=1
Aditya Roy Kapur	Red Carpet	Suit	Wool	Neutral Tones	Classic Cut	Watch, Pocket Square	https://i.pinimg.com/736x/ce/9c/7b/ce9c7b4ec1ab7bea5e1fe0e585e58e61.jpg
Kiara Advani	Traditional	Lehenga	Silk	Pastels, Neutrals	Embroidery	Necklace, Bangles	https://media.vogue.in/wp-content/uploads/2020/09/Kiara-Advani-blue-lehenga-gold-bangles-earrings-Hasina-Pagal-Deewani-song-Indoo-Ki-Jawaani.jpg
samantha 	Traditional	saree	Satin	Monochrome, Bright Colors	Sequins	Earrings, Necklace	https://www.beautyepic.com/wp-content/uploads/2017/05/Samantha-In-Kerala-Saree.jpg
Dulquer Salmaan	Casual	Kurta	Cotton	Bright Colors, Neutrals	Bold Patterns	Watch, Bracelet	https://i.pinimg.com/originals/1f/86/0b/1f860b3cd984643d8753f53ca69ef59e.jpg
Dulquer Salmaan	Red Carpet	Suit	Wool	Jewel Tones, Neutrals	Classic Cut	Watch, Cufflinks	https://th.bing.com/th/id/OIP.yfXWYtSEg5SyJQVSzoZMXQHaEK?rs=1&pid=ImgDetMain
Samantha	Casual	lehenga	Silk	Earth Tones, Neutrals	Embroidery	Bangles, Necklace	https://media.vogue.in/wp-content/uploads/2020/11/Samantha-Akkineni-in-blue-floral-lehenga-choker-necklace.jpg
Tiger Shroff	Casual	T-Shirt & Jeans	Cotton	Bright Colors	Minimalist	Watch, Sunglasses	https://st1.latestly.com/wp-content/uploads/2022/03/1-resize.jpg
Genelia D'Souza	Casual	Dress	Cotton	Neutrals, Bright	Simple Patterns	Earrings, Necklace	https://i.pinimg.com/originals/f3/8e/09/f38e09a98b1a3c32fd91fa2d17aefd5e.jpg
Bhuvan Bam	Casual	Blazer	Wool	Earth Tones, Blue	Classic Cut	Watch	https://www.forbesindia.com/media/images/2019/Jul/img_118741_bhuvan_bam.jpg
Nushrat Bharucha	Casual	lehenga	Cotton	Jewel Tones, Pastels	Minimal Embroidery	Necklace	https://i.pinimg.com/originals/bc/ff/fa/bcfffa72af00b2ed15178b25a6ef0ea1.jpg
Pooja Hegde	Red Carpet	Gown	Silk	Jewel Tones	Embroidery	Earrings, Necklace	https://static.india.com/wp-content/uploads/2022/05/pjimage-2-12.jpg
Pooja Hegde	Casual	Saree	Silk	Pastels, Neutrals	Embroidery	Necklace, Earrings	https://i.pinimg.com/originals/2c/58/0b/2c580b2086d2c395cfd1c6c011dab0d2.jpg
Ranveer Singh,Red Carpet,Quirky Suit,Silk,"Patterns, Bright",Prints,"Hat, Necklace",https://static.toiimg.com/photo/84199997/84199997.jpg